ip		px:		py:		pz:
202		7.42649		16.6618		0.5
203		8.58091		16.6618		0.5
204		9.73533		16.6618		0.5
205		10.8897		16.6618		0.5
206		12.0442		16.6618		0.5
207		13.1986		16.6618		0.5
208		14.353		16.6618		0.5
209		15.5074		16.6618		0.5
210		0.5		0.5		1.65442
211		1.65442		0.5		1.65442
212		2.80883		0.5		1.65442
213		3.96325		0.5		1.65442
214		5.11766		0.5		1.65442
215		6.27208		0.5		1.65442
216		7.42649		0.5		1.65442
217		8.58091		0.5		1.65442
218		9.73533		0.5		1.65442
219		10.8897		0.5		1.65442
220		12.0442		0.5		1.65442
221		13.1986		0.5		1.65442
222		14.353		0.5		1.65442
223		15.5074		0.5		1.65442
224		0.5		1.65442		1.65442
225		1.65442		1.65442		1.65442
226		2.80883		1.65442		1.65442
227		3.96325		1.65442		1.65442
228		5.11766		1.65442		1.65442
229		6.27208		1.65442		1.65442
230		7.42649		1.65442		1.65442
231		8.58091		1.65442		1.65442
232		9.73533		1.65442		1.65442
233		10.8897		1.65442		1.65442
234		12.0442		1.65442		1.65442
235		13.1986		1.65442		1.65442
236		14.353		1.65442		1.65442
237		15.5074		1.65442		1.65442
238		0.5		2.80883		1.65442
239		1.65442		2.80883		1.65442
240		2.80883		2.80883		1.65442
241		3.96325		2.80883		1.65442
242		5.11766		2.80883		1.65442
243		6.27208		2.80883		1.65442
244		7.42649		2.80883		1.65442
245		8.58091		2.80883		1.65442
246		9.73533		2.80883		1.65442
247		10.8897		2.80883		1.65442
248		12.0442		2.80883		1.65442
249		13.1986		2.80883		1.65442
250		14.353		2.80883		1.65442
251		15.5074		2.80883		1.65442
252		0.5		3.96325		1.65442
253		1.65442		3.96325		1.65442
254		2.80883		3.96325		1.65442
255		3.96325		3.96325		1.65442
256		5.11766		3.96325		1.65442
257		6.27208		3.96325		1.65442
258		7.42649		3.96325		1.65442
259		8.58091		3.96325		1.65442
260		9.73533		3.96325		1.65442
261		10.8897		3.96325		1.65442
262		12.0442		3.96325		1.65442
263		13.1986		3.96325		1.65442
264		14.353		3.96325		1.65442
265		15.5074		3.96325		1.65442
266		0.5		5.11766		1.65442
267		1.65442		5.11766		1.65442
268		2.80883		5.11766		1.65442
269		3.96325		5.11766		1.65442
270		5.11766		5.11766		1.65442
271		6.27208		5.11766		1.65442
272		7.42649		5.11766		1.65442
273		8.58091		5.11766		1.65442
274		9.73533		5.11766		1.65442
275		10.8897		5.11766		1.65442
276		12.0442		5.11766		1.65442
277		13.1986		5.11766		1.65442
278		14.353		5.11766		1.65442
279		15.5074		5.11766		1.65442
280		0.5		6.27208		1.65442
281		1.65442		6.27208		1.65442
282		2.80883		6.27208		1.65442
283		3.96325		6.27208		1.65442
284		5.11766		6.27208		1.65442
285		6.27208		6.27208		1.65442
286		7.42649		6.27208		1.65442
287		8.58091		6.27208		1.65442
288		9.73533		6.27208		1.65442
289		10.8897		6.27208		1.65442
290		12.0442		6.27208		1.65442
291		13.1986		6.27208		1.65442
292		14.353		6.27208		1.65442
293		15.5074		6.27208		1.65442
294		0.5		7.42649		1.65442
295		1.65442		7.42649		1.65442
296		2.80883		7.42649		1.65442
297		3.96325		7.42649		1.65442
298		5.11766		7.42649		1.65442
299		6.27208		7.42649		1.65442
300		7.42649		7.42649		1.65442
301		8.58091		7.42649		1.65442
302		9.73533		7.42649		1.65442
303		10.8897		7.42649		1.65442
304		12.0442		7.42649		1.65442
305		13.1986		7.42649		1.65442
306		14.353		7.42649		1.65442
307		15.5074		7.42649		1.65442
308		0.5		8.58091		1.65442
309		1.65442		8.58091		1.65442
